County Name, Total Population: 2019 ,Vaxed
Aitkin County,15870,9097
Anoka County,362648,215412
Becker County,34545,17775
Beltrami County,47184,26376
Benton County,40895,16592
Big Stone County,4993,3090
Blue Earth County,68583,40337
Brown County,25119,16563
Carlton County,35935,24590
Carver County,107179,69919
Cass County,29754,12653
Chippewa County,11858,6132
Chisago County,56613,33923
Clay County,64591,35786
Clearwater County,8808,4756
Cook County,5462,4374
Cottonwood County,11216,6235
Crow Wing County,65274,36970
Dakota County,433302,307523
Dodge County,20943,12426
Douglas County,38220,21762
Faribault County,13580,7703
Fillmore County,21060,14339
Freeborn County,30364,16845
Goodhue County,46449,30485
Grant County,5967,3292
Hennepin County,1279981,916002
Houston County,18626,12471
Hubbard County,21494,12396
Isanti County,40566,17284
Itasca County,45203,24830
Jackson County,9858,4654
Kanabec County,16310,7236
Kandiyohi County,43193,22767
Kittson County,4299,2438
Koochiching County,12430,7146
Lac qui Parle County,6629,3688
Lake County,10632,6965
Lake of the Woods County,3798,2066
Le Sueur County,28894,13135
Lincoln County,5648,2831
Lyon County,25635,14442
Mahnomen County,5529,285
Marshall County,9342,4583
Martin County,19752,10529
McLeod County,35963,20738
Meeker County,23256,10145
Mille Lacs County,26227,15647
Morrison County,33368,14381
Mower County,40124,24204
Murray County,8222,4403
Nicollet County,34323,21477
Nobles County,21976,12590
Norman County,6367,5255
Olmsted County,160431,117686
Otter Tail County,58734,29937
Pennington County,14355,8032
Pine County,29526,12854
Pipestone County,9132,4930
Polk County,31524,16455
Pope County,11139,5787
Ramsey County,558248,377419
Red Lake County,4030,2342
Redwood County,15204,8047
Renville County,14588,8101
Rice County,66853,41919
Rock County,9359,4441
Roseau County,15242,7761
Scott County,148458,100238
Sherburne County,97520,57216
Sibley County,14899,6965
St. Louis County,199661,128135
Stearns County,160211,84130
Steele County,37112,22115
Stevens County,9766,5448
Swift County,9367,5349
Todd County,24665,10242
Traverse County,3263,1887
Wabasha County,21614,14793
Wadena County,13744,6532
Waseca County,18648,10441
Washington County,262748,197476
Watonwan County,10923,6302
Wilkin County,6226,3191
Winona County,50830,29785
Wright County,138531,68388
Yellow Medicine County,9729,5440
